study,ranks,n_local,n_global,time_us,gflops,gbs
strong,1,64000000,64000000,44072.008,2.9043,23.2347
strong,2,32000000,64000000,35082.653,3.6485,29.1882
strong,3,21333333,63999999,32390.923,3.9517,31.6138
strong,4,16000000,64000000,32563.696,3.9308,31.4461
strong,6,10666666,63999996,29686.873,4.3117,34.4934
strong,8,8000000,64000000,32718.423,3.9122,31.2974
strong,12,5333333,63999996,34410.319,3.7198,29.7585
weak,1,8000000,8000000,5486.646,2.9162,23.3294
weak,2,8000000,16000000,8811.573,3.6316,29.0527
weak,3,8000000,24000000,11277.136,4.2564,34.0512
weak,4,8000000,32000000,14584.946,4.3881,35.1047
weak,6,8000000,48000000,24046.263,3.9923,31.9384
weak,8,8000000,64000000,30375.045,4.2140,33.7119
weak,12,8000000,96000000,54675.338,3.5116,28.0931
